t_us,v
0.0,1.64899
200.0,2.34896
400.0,0.510996
600.0,2.79392
800.0,0.948131
1000.0,1.6485
1200.0,2.35256
1400.0,0.509702
1600.0,2.7963
1800.0,0.944574
2000.0,1.6508
2200.0,2.35576
2400.0,0.50312
2600.0,2.79307
2800.0,0.947681
3000.0,1.64744
3200.0,2.34886
3400.0,0.507637
3600.0,2.79306
3800.0,0.946181
4000.0,1.65301
4200.0,2.35205
4400.0,0.510595
4600.0,2.78974
4800.0,0.942452
5000.0,1.64554
5200.0,2.35949
5400.0,0.507103
5600.0,2.79065
5800.0,0.939611
6000.0,1.65242
6200.0,2.35595
6400.0,0.508195
6600.0,2.79402
6800.0,0.943145
7000.0,1.64963
7200.0,2.35315
7400.0,0.507309
7600.0,2.79253
7800.0,0.942271
8000.0,1.65745
8200.0,2.35463
8400.0,0.503527
8600.0,2.79256
8800.0,0.942825
9000.0,1.64942
9200.0,2.35674
9400.0,0.505365
9600.0,2.79261
9800.0,0.938832
10000.0,1.6558
10200.0,2.35727
10400.0,0.509164
10600.0,2.78953
10800.0,0.942218
11000.0,1.65273
11200.0,2.35418
11400.0,0.506025
11600.0,2.78832
11800.0,0.942363
12000.0,1.64875
12200.0,2.35767
12400.0,0.508595
12600.0,2.78906
12800.0,0.943533
13000.0,1.64603
13200.0,2.35134
13400.0,0.503064
13600.0,2.78897
13800.0,0.94463
14000.0,1.65029
14200.0,2.35635
14400.0,0.511631
14600.0,2.78828
14800.0,0.946874
15000.0,1.65507
15200.0,2.35921
15400.0,0.509926
15600.0,2.7949
15800.0,0.949556
16000.0,1.64876
16200.0,2.3553
16400.0,0.508013
16600.0,2.78597
16800.0,0.941666
17000.0,1.65257
17200.0,2.35577
17400.0,0.508382
17600.0,2.78894
17800.0,0.941887
18000.0,1.65615
18200.0,2.3558
18400.0,0.507649
18600.0,2.79369
18800.0,0.947443
19000.0,1.64689
19200.0,2.35045
19400.0,0.508416
19600.0,2.7921
19800.0,0.946125
20000.0,1.64996
20200.0,2.35226
20400.0,0.510175
20600.0,2.79192
20800.0,0.945846
21000.0,1.64752
21200.0,2.35776
21400.0,0.506424
