t_us,v
0.0,3.31115
5.0,3.30904
10.0,3.29473
15.0,3.29342
20.0,3.30246
25.0,3.30632
30.0,3.31265
35.0,3.32321
40.0,3.28769
45.0,3.28853
50.0,3.28986
55.0,3.30486
60.0,3.30952
65.0,3.30266
70.0,3.30144
75.0,3.29337
80.0,3.29693
85.0,3.29544
90.0,3.30509
95.0,3.2905
100.0,3.30373
105.0,3.30134
110.0,3.28999
115.0,3.29705
120.0,3.31313
125.0,3.31237
130.0,3.30626
135.0,3.30617
140.0,3.27993
145.0,3.29312
150.0,3.31428
155.0,3.30001
160.0,3.30987
165.0,3.31443
170.0,3.27619
175.0,3.30195
180.0,3.30915
185.0,3.2979
190.0,3.31206
195.0,3.29889
200.0,3.29978
205.0,3.30293
210.0,3.30905
215.0,3.29699
220.0,3.30507
225.0,3.30154
230.0,3.29887
235.0,3.29188
240.0,3.29651
245.0,3.29997
250.0,3.28416
255.0,3.28709
260.0,3.29919
265.0,3.30229
270.0,3.30789
275.0,3.29205
280.0,3.2955
285.0,3.30578
290.0,3.30429
295.0,3.29572
300.0,0.0176734
305.0,-0.0141145
310.0,-0.00168034
315.0,0.00204094
320.0,-0.00738416
325.0,0.00695084
330.0,0.0143967
335.0,0.00590581
340.0,0.000881023
345.0,0.0069629
350.0,-0.00323333
355.0,0.0046146
360.0,0.00758713
365.0,0.0103414
370.0,-0.0179424
375.0,-0.00718228
380.0,0.0046051
385.0,0.00691723
390.0,0.000618157
395.0,-0.00520276
400.0,-0.00133551
405.0,-0.00947352
410.0,-0.0107047
415.0,0.0050084
420.0,-0.00640521
425.0,-0.00984915
430.0,0.0198748
435.0,-0.00290268
440.0,-0.00844196
445.0,0.000298763
450.0,0.0306652
455.0,-0.000872324
460.0,0.0104689
465.0,0.0178399
470.0,0.0086949
475.0,-0.00658737
480.0,-0.00172294
485.0,0.0119518
490.0,0.0156432
495.0,-0.024905
500.0,0.0114418
505.0,-0.00202348
510.0,0.00412416
515.0,0.0098688
520.0,-0.00411545
525.0,0.00534537
530.0,0.0245267
535.0,0.0186003
540.0,-0.0125807
545.0,0.00615295
550.0,-0.0155402
555.0,-0.0124255
560.0,0.00787655
565.0,-0.00947483
570.0,-0.00465006
575.0,0.00227925
580.0,0.00685134
585.0,-0.0120997
590.0,-0.00856703
595.0,-0.00055477
600.0,-0.0131811
605.0,0.00770025
610.0,0.00873221
615.0,0.0127151
620.0,-0.00792669
625.0,0.00554567
630.0,-0.0138896
635.0,-0.000329787
640.0,-0.0087449
645.0,0.00317544
650.0,-0.00299379
655.0,-0.0159781
660.0,0.0107954
665.0,-0.017633
670.0,0.0147005
675.0,0.0108179
680.0,0.00958436
685.0,0.00230922
690.0,0.00678619
695.0,-0.00667733
700.0,-0.00846003
705.0,-0.0235788
710.0,0.00480747
715.0,-0.0134039
720.0,-0.00577117
725.0,-0.00852163
730.0,0.0081079
735.0,0.00233884
740.0,-0.0202843
745.0,0.00342562
750.0,0.00664574
755.0,-0.00692019
760.0,-0.012113
765.0,0.00285537
770.0,-0.0110476
775.0,-0.000304898
780.0,0.00402299
785.0,0.0126971
790.0,-0.0212529
795.0,-0.0043852
800.0,-0.0157221
805.0,-0.00172466
