t_us,v
0.0,1.65069
50.0,2.11517
100.0,2.53234
150.0,2.86092
200.0,3.0784
250.0,3.15089
300.0,3.07551
350.0,2.86469
400.0,2.53241
450.0,2.11411
500.0,1.65006
550.0,1.18757
600.0,0.766849
650.0,0.436149
700.0,0.222451
750.0,0.151198
800.0,0.223495
850.0,0.43589
900.0,0.766758
950.0,1.18596
1000.0,1.65002
1050.0,2.11297
1100.0,2.53427
1150.0,2.86554
1200.0,3.07116
1250.0,3.14622
1300.0,3.07624
1350.0,2.86268
1400.0,2.53211
1450.0,2.11396
1500.0,1.65424
1550.0,1.18425
1600.0,0.767567
1650.0,0.44056
1700.0,0.224709
1750.0,0.151326
1800.0,0.222387
1850.0,0.433178
1900.0,0.768657
1950.0,1.18669
2000.0,1.64755
2050.0,2.11216
2100.0,2.53153
2150.0,2.86164
2200.0,3.07639
2250.0,3.15019
2300.0,3.07666
2350.0,2.86251
2400.0,2.53287
2450.0,2.11531
2500.0,1.65064
2550.0,1.18484
2600.0,0.769785
2650.0,0.435472
2700.0,0.225174
2750.0,0.147856
2800.0,0.225244
2850.0,0.436434
2900.0,0.765825
2950.0,1.18585
3000.0,1.65011
3050.0,2.11407
3100.0,2.52971
3150.0,2.86131
3200.0,3.07698
3250.0,3.14907
3300.0,3.07706
3350.0,2.86504
3400.0,2.52838
3450.0,2.11403
3500.0,1.65245
3550.0,1.18588
3600.0,0.7667
3650.0,0.437979
3700.0,0.223922
3750.0,0.151792
3800.0,0.222725
3850.0,0.433511
3900.0,0.768102
3950.0,1.18558
4000.0,1.65155
4050.0,2.11391
4100.0,2.52842
4150.0,2.86114
4200.0,3.07835
4250.0,3.15136
4300.0,3.0753
4350.0,2.86352
4400.0,2.53257
4450.0,2.11446
4500.0,1.65175
4550.0,1.18699
4600.0,0.768132
4650.0,0.435957
4700.0,0.225527
4750.0,0.145498
4800.0,0.223138
4850.0,0.436541
4900.0,0.765471
4950.0,1.18714
5000.0,1.6487
5050.0,2.11525
5100.0,2.53143
5150.0,2.86486
5200.0,3.07902
5250.0,3.15077
5300.0,3.07483
5350.0,2.8605
5400.0,2.53518
5450.0,2.1133
5500.0,1.64862
5550.0,1.18676
5600.0,0.767939
5650.0,0.438179
5700.0,0.223483
5750.0,0.150027
5800.0,0.221986
5850.0,0.437414
5900.0,0.766254
5950.0,1.18781
6000.0,1.65305
6050.0,2.11048
6100.0,2.52675
6150.0,2.86476
6200.0,3.08168
6250.0,3.148
6300.0,3.07408
6350.0,2.8647
6400.0,2.53
6450.0,2.11251
6500.0,1.6493
6550.0,1.18754
6600.0,0.767512
6650.0,0.43703
6700.0,0.223062
6750.0,0.148311
6800.0,0.222776
6850.0,0.434574
6900.0,0.768335
6950.0,1.18423
7000.0,1.64781
7050.0,2.11644
7100.0,2.53157
7150.0,2.86342
7200.0,3.07761
7250.0,3.14916
