t_us,v
0.0,1.64996
20.8,1.86112
41.7,2.06812
62.5,2.26791
83.3,2.45812
104.2,2.63374
125.0,2.79247
145.8,2.93255
166.7,3.0502
187.5,3.14453
208.3,3.21295
229.2,3.25494
250.0,3.27026
270.8,3.25729
291.7,3.21702
312.5,3.15015
333.3,3.05829
354.2,2.94148
375.0,2.8037
395.8,2.64582
416.7,2.47096
437.5,2.28243
458.3,2.08263
479.2,1.87556
500.0,1.6653
520.8,1.45425
541.7,1.24645
562.5,1.04569
583.3,0.85556
604.2,0.678366
625.0,0.518043
645.8,0.377049
666.7,0.257082
687.5,0.161059
708.3,0.0910338
729.2,0.0466773
750.0,0.0297974
770.8,0.0411096
791.7,0.0788969
812.5,0.144255
833.3,0.234414
854.2,0.34881
875.0,0.485749
895.8,0.642086
916.7,0.816108
937.5,1.00389
958.3,1.20279
979.2,1.40912
1000.0,1.61942
1020.8,1.83046
1041.7,2.03836
1062.5,2.23972
1083.3,2.43151
1104.2,2.60953
1125.0,2.77077
1145.8,2.91327
1166.7,3.03492
1187.5,3.13244
1208.3,3.20491
1229.2,3.25085
1250.0,3.2694
1270.8,3.26056
1291.7,3.22424
1312.5,3.16143
1333.3,3.0728
1354.2,2.96004
1375.0,2.82469
1395.8,2.66999
1416.7,2.49757
1437.5,2.31072
1458.3,2.11242
1479.2,1.90627
1500.0,1.69594
1520.8,1.48478
1541.7,1.27618
1562.5,1.0747
1583.3,0.882197
1604.2,0.703263
1625.0,0.539824
1645.8,0.395549
1666.7,0.273187
1687.5,0.173994
1708.3,0.0999046
1729.2,0.0515079
1750.0,0.0306101
1770.8,0.0378681
1791.7,0.0717246
1812.5,0.133034
1833.3,0.220013
1854.2,0.33116
1875.0,0.464855
1895.8,0.618739
1916.7,0.789539
1937.5,0.975625
1958.3,1.17307
1979.2,1.37849
2000.0,1.58879
2020.8,1.79984
2041.7,2.00854
2062.5,2.21162
2083.3,2.40412
2104.2,2.58461
2125.0,2.74889
2145.8,2.89394
2166.7,3.01881
2187.5,3.11955
2208.3,3.19608
2229.2,3.246
2250.0,3.2686
2270.8,3.26375
2291.7,3.23146
2312.5,3.1719
2333.3,3.08736
2354.2,2.9777
2375.0,2.84565
2395.8,2.69337
2416.7,2.52335
2437.5,2.33806
2458.3,2.14143
2479.2,1.93604
2500.0,1.72648
2520.8,1.51541
2541.7,1.30601
2562.5,1.10291
2583.3,0.909679
2604.2,0.728338
2625.0,0.562394
2645.8,0.415766
2666.7,0.289222
2687.5,0.186919
2708.3,0.108788
2729.2,0.0572066
2750.0,0.0322943
2770.8,0.0346895
2791.7,0.065272
2812.5,0.122516
2833.3,0.205452
2854.2,0.313439
2875.0,0.443932
2895.8,0.595379
2916.7,0.763736
2937.5,0.948242
2958.3,1.14405
2979.2,1.3487
3000.0,1.55807
3020.8,1.77003
3041.7,1.97874
3062.5,2.18254
3083.3,2.37747
3104.2,2.55956
3125.0,2.72644
3145.8,2.87455
3166.7,3.00189
3187.5,3.10668
3208.3,3.18632
3229.2,3.24041
3250.0,3.26691
3270.8,3.26621
3291.7,3.23807
3312.5,3.18233
3333.3,3.101
3354.2,2.99467
3375.0,2.86573
3395.8,2.71672
3416.7,2.54829
3437.5,2.36541
3458.3,2.17043
3479.2,1.96663
3500.0,1.75718
3520.8,1.54531
3541.7,1.33579
3562.5,1.13192
3583.3,0.936165
3604.2,0.753278
3625.0,0.585704
3645.8,0.43589
3666.7,0.306149
3687.5,0.199811
3708.3,0.118437
3729.2,0.0628404
3750.0,0.033821
3770.8,0.0330637
3791.7,0.0596176
3812.5,0.11279
3833.3,0.19251
3854.2,0.296458
3875.0,0.423757
3895.8,0.572046
3916.7,0.738725
3937.5,0.920905
3958.3,1.11505
3979.2,1.31884
4000.0,1.52831
4020.8,1.73945
4041.7,1.94891
4062.5,2.15346
4083.3,2.3501
4104.2,2.53378
4125.0,2.703
4145.8,2.85444
4166.7,2.985
4187.5,3.09292
4208.3,3.17672
4229.2,3.23399
4250.0,3.26454
4270.8,3.26775
4291.7,3.24361
4312.5,3.19199
4333.3,3.11463
4354.2,3.01157
4375.0,2.88587
4395.8,2.7392
4416.7,2.57413
4437.5,2.39285
4458.3,2.19947
4479.2,1.99641
4500.0,1.78696
4520.8,1.57586
4541.7,1.36644
4562.5,1.1609
4583.3,0.964391
4604.2,0.779078
4625.0,0.608231
4645.8,0.456031
4666.7,0.323863
4687.5,0.213576
4708.3,0.128954
4729.2,0.0692849
4750.0,0.0362398
