t_us,deg
0.0,89.7503
500.0,90.1347
1000.0,90.0422
1500.0,90.1149
2000.0,89.8893
2500.0,89.9391
3000.0,89.745
3500.0,90.2819
4000.0,89.9924
4500.0,89.791
5000.0,89.9346
5500.0,89.773
6000.0,89.7658
6500.0,89.9423
7000.0,89.942
7500.0,89.8962
8000.0,90.2242
8500.0,89.8805
9000.0,90.0815
9500.0,89.8805
10000.0,90.0135
10500.0,89.7058
11000.0,89.8987
11500.0,89.7987
12000.0,90.1846
12500.0,89.9595
13000.0,89.8621
13500.0,90.1597
14000.0,90.2512
14500.0,89.9884
15000.0,89.9303
15500.0,90.07
16000.0,90.0551
16500.0,89.844
17000.0,89.8553
17500.0,90.4658
18000.0,89.9108
18500.0,90.0861
19000.0,89.9612
19500.0,89.7914
20000.0,90.0494
20500.0,89.9241
21000.0,89.9152
21500.0,90.2184
22000.0,90.016
22500.0,90.0171
23000.0,89.6531
23500.0,90.0483
24000.0,89.997
24500.0,89.8901
25000.0,89.9347
25500.0,90.0769
26000.0,89.8588
26500.0,89.9893
27000.0,89.7144
27500.0,89.8859
28000.0,89.9
28500.0,89.984
29000.0,90.3804
29500.0,90.4857
30000.0,89.7965
30500.0,90.2192
31000.0,90.1547
31500.0,90.2102
32000.0,90.1663
32500.0,89.9971
33000.0,90.0848
33500.0,90.1568
34000.0,89.851
34500.0,89.9963
35000.0,90.0597
35500.0,90.2769
36000.0,90.1403
36500.0,89.857
37000.0,90.075
37500.0,89.9958
38000.0,89.9685
38500.0,90.0038
39000.0,89.9474
39500.0,90.1064
40000.0,90.0911
40500.0,90.0183
41000.0,90.0839
41500.0,89.8598
42000.0,90.0852
42500.0,90.0842
43000.0,89.971
43500.0,90.0477
44000.0,89.8908
44500.0,90.041
45000.0,89.8836
45500.0,90.2886
46000.0,89.9225
46500.0,90.0995
47000.0,89.985
47500.0,90.15
48000.0,89.921
48500.0,90.0194
49000.0,89.9495
49500.0,90.0005
50000.0,90.0577
50500.0,92.1787
51000.0,93.7648
51500.0,94.9982
52000.0,96.677
52500.0,98.2297
53000.0,99.5915
53500.0,100.759
54000.0,101.843
54500.0,102.946
55000.0,104.065
55500.0,104.869
56000.0,105.95
56500.0,106.806
57000.0,107.494
57500.0,108.049
58000.0,109.02
58500.0,109.569
59000.0,110.311
59500.0,110.815
60000.0,111.434
60500.0,111.891
61000.0,112.579
61500.0,112.747
62000.0,113.515
62500.0,113.756
63000.0,114.048
63500.0,114.628
64000.0,115.157
64500.0,114.963
65000.0,115.317
65500.0,115.711
66000.0,116.039
66500.0,116.241
67000.0,116.533
67500.0,116.585
68000.0,117.039
68500.0,117.063
69000.0,117.576
69500.0,117.302
70000.0,117.548
70500.0,117.733
71000.0,117.786
71500.0,118.114
72000.0,117.912
72500.0,118.115
73000.0,118.626
73500.0,118.398
74000.0,118.503
74500.0,118.814
75000.0,118.59
75500.0,118.512
76000.0,118.779
76500.0,118.739
77000.0,119.233
77500.0,119.1
78000.0,119.028
78500.0,119.299
79000.0,119.345
79500.0,119.053
80000.0,119.359
80500.0,119.216
81000.0,119.527
81500.0,119.611
82000.0,119.596
82500.0,119.531
83000.0,119.5
83500.0,119.77
84000.0,119.506
84500.0,119.943
85000.0,119.577
85500.0,119.633
86000.0,119.437
86500.0,119.845
87000.0,119.65
87500.0,119.704
88000.0,119.693
88500.0,119.852
89000.0,119.626
89500.0,119.616
90000.0,119.785
90500.0,119.829
91000.0,119.79
91500.0,119.752
92000.0,120.204
92500.0,119.749
93000.0,119.845
93500.0,119.921
94000.0,120.078
94500.0,119.936
95000.0,119.477
95500.0,120.122
96000.0,119.873
96500.0,119.887
97000.0,119.855
97500.0,119.866
98000.0,120.072
98500.0,120.004
99000.0,119.99
99500.0,119.908
100000.0,120.038
100500.0,120.049
101000.0,119.922
101500.0,119.805
102000.0,120.212
102500.0,120.107
103000.0,119.804
103500.0,120.008
104000.0,120.067
104500.0,120.131
105000.0,120.104
105500.0,119.945
106000.0,120.044
106500.0,120.285
107000.0,120.008
107500.0,120.121
108000.0,120.158
108500.0,120.062
109000.0,119.908
109500.0,119.853
110000.0,120.049
110500.0,120.022
111000.0,119.979
111500.0,119.758
112000.0,119.822
112500.0,119.996
113000.0,120.232
113500.0,119.9
114000.0,119.954
114500.0,119.862
115000.0,120.266
115500.0,120.143
116000.0,119.82
116500.0,119.955
117000.0,119.866
117500.0,120.004
118000.0,119.972
118500.0,120.247
119000.0,119.836
119500.0,119.907
120000.0,119.961
120500.0,119.954
121000.0,120.028
121500.0,120
122000.0,120.106
122500.0,119.739
123000.0,119.975
123500.0,119.987
124000.0,120.307
124500.0,120.045
125000.0,119.81
125500.0,120.011
126000.0,119.863
126500.0,120.05
127000.0,119.844
127500.0,120.096
128000.0,119.965
128500.0,119.827
129000.0,119.94
129500.0,120.251
130000.0,119.78
130500.0,119.956
131000.0,120.089
131500.0,120.133
132000.0,119.895
132500.0,120.088
133000.0,120.158
133500.0,119.939
134000.0,120.138
134500.0,119.805
135000.0,120.147
135500.0,120.068
136000.0,119.842
136500.0,119.756
137000.0,120.205
137500.0,119.901
138000.0,120.228
138500.0,120.103
139000.0,120.058
139500.0,120.048
140000.0,120.084
140500.0,120.001
141000.0,119.834
141500.0,120.027
142000.0,120.042
142500.0,119.981
143000.0,119.848
143500.0,119.855
144000.0,119.919
144500.0,119.984
145000.0,119.883
145500.0,120.192
146000.0,119.938
146500.0,120.052
147000.0,119.86
147500.0,120.046
148000.0,120.049
148500.0,120.025
149000.0,119.843
149500.0,120.1
150000.0,119.923
150500.0,120.104
151000.0,119.936
151500.0,119.966
152000.0,120.13
152500.0,120.005
153000.0,120.009
153500.0,119.851
154000.0,120.082
154500.0,120.062
155000.0,120.13
155500.0,120.101
156000.0,120.087
156500.0,120.119
157000.0,120.016
157500.0,119.894
158000.0,119.926
158500.0,119.954
159000.0,119.924
159500.0,119.866
160000.0,120.089
160500.0,119.694
161000.0,120.125
161500.0,119.933
162000.0,120.07
162500.0,119.956
163000.0,119.945
163500.0,119.68
164000.0,119.836
164500.0,119.96
165000.0,119.961
165500.0,120.052
166000.0,119.959
166500.0,120.139
167000.0,120.216
167500.0,119.898
168000.0,119.774
168500.0,119.904
169000.0,120.094
169500.0,120.169
170000.0,119.968
170500.0,120.08
171000.0,119.957
171500.0,119.629
172000.0,119.821
172500.0,119.941
173000.0,120.218
173500.0,119.835
174000.0,119.94
174500.0,119.98
175000.0,119.947
175500.0,119.996
176000.0,120.261
176500.0,119.788
177000.0,120.11
177500.0,120.044
178000.0,119.984
178500.0,119.902
179000.0,119.909
179500.0,120.23
180000.0,120.205
180500.0,119.923
181000.0,119.902
181500.0,120.012
182000.0,120.063
182500.0,120.075
183000.0,119.923
183500.0,119.799
184000.0,119.767
184500.0,119.912
185000.0,120.183
185500.0,119.897
186000.0,120.038
186500.0,119.922
187000.0,119.999
187500.0,120.155
188000.0,120.096
188500.0,119.987
189000.0,120.042
189500.0,119.845
190000.0,119.77
190500.0,120.019
191000.0,119.86
191500.0,119.973
192000.0,119.93
192500.0,119.975
193000.0,120.242
193500.0,120.076
194000.0,120.295
194500.0,120.022
195000.0,119.991
195500.0,119.976
196000.0,120.337
196500.0,120.108
197000.0,120.235
197500.0,120.21
198000.0,120.066
198500.0,119.976
199000.0,119.874
199500.0,119.982
